Plate;Infraction ID;Fine Amount;Issuing Agency;Issue Date;County Name
HJG5841;98;95.0;POLICE DEPARTMENT;2016-12-03;Kings
KRF7733;38;35.0;TRAFFIC;2019-06-12;Queens
JPN9284;20;60.0;TRAFFIC;2020-07-15;Bronx
GYG1064;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-04-05;Kings
GNP7376;5;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-31;New York City
GGA1138;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-05-26;Queens
GTV4800;40;115.0;TRAFFIC;2019-01-06;Kings
24542PC;46;115.0;POLICE DEPARTMENT;2019-08-30;New York City
71408MJ;47;115.0;TRAFFIC;2021-07-23;New York City
50782MG;16;95.0;TRAFFIC;2017-01-31;New York City
HUJ8153;74;65.0;TRAFFIC;2018-05-15;Queens
KYR6187;38;35.0;TRAFFIC;2023-04-15;Queens
18006MH;69;65.0;TRAFFIC;2023-08-16;New York City
KBS5539;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-24;Kings
C11FSW;17;95.0;TRAFFIC;2018-12-02;New York City
HBJ6846;20;60.0;TRAFFIC;2021-01-24;Bronx
JFJ5156;7;50.0;DEPARTMENT OF TRANSPORTATION;2022-05-21;Queens
61125MC;14;115.0;TRAFFIC;2018-06-06;Kings
KRY2465;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-01-22;Kings
HDU5815;21;45.0;TRAFFIC;2019-05-18;Kings
08BNWC;40;115.0;TRAFFIC;2022-08-03;New York City
BK40308;17;95.0;TRAFFIC;2023-02-26;New York City
25965MK;21;65.0;DEPARTMENT OF SANITATION;2020-07-24;Kings
GUK3867;40;115.0;TRAFFIC;2020-11-23;Queens
FBY6416;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-10-09;Bronx
HZR9489;38;35.0;TRAFFIC;2018-06-09;Kings
54655ML;20;65.0;TRAFFIC;2020-03-09;New York City
T103807C;14;115.0;TRAFFIC;2023-08-07;Kings
Y96EXZ;21;65.0;TRAFFIC;2021-03-09;New York City
EKA1827;46;115.0;TRAFFIC;2021-03-07;Kings
KSY6244;46;115.0;TRAFFIC;2022-11-07;Queens
KPZ6177;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-09-22;Queens
98087MK;71;65.0;TRAFFIC;2023-06-07;New York City
KSP7630;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-01-16;Kings
GBU6166;37;35.0;TRAFFIC;2020-09-16;New York City
JPR8236;21;65.0;TRAFFIC;2021-07-29;New York City
H19183;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-10-15;Queens
FDM3057;38;35.0;TRAFFIC;2019-07-29;Queens
8E74A;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-09-11;New York City
T104859C;5;50.0;DEPARTMENT OF TRANSPORTATION;2022-10-14;Bronx
Y84MYX;21;65.0;TRAFFIC;2023-01-10;Queens
HRR1721;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-05-08;Queens
G76HVF;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-09-11;Queens
KKL8237;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-11-26;Queens
HMN3251;14;115.0;TRAFFIC;2019-01-23;Kings
KJA2228;16;95.0;TRAFFIC;2021-10-23;New York City
GNL1479;7;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-11;Kings
38TT48;71;65.0;TRAFFIC;2020-09-28;New York City
51589JW;20;65.0;POLICE DEPARTMENT;2019-04-10;New York City
B12GBG;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-04-14;New York City
KZL7246;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-12-29;Kings
KED3547;38;35.0;TRAFFIC;2020-12-22;Kings
HUS3381;37;35.0;TRAFFIC;2019-12-23;Queens
FES9509;21;45.0;TRAFFIC;2018-02-23;Bronx
FSM6026;16;95.0;TRAFFIC;2020-09-05;Kings
FYA2091;74;65.0;TRAFFIC;2016-12-26;Queens
KDX2965;21;65.0;TRAFFIC;2020-11-21;New York City
HWH9699;46;115.0;TRAFFIC;2018-01-25;New York City
15796NA;48;115.0;TRAFFIC;2021-08-10;New York City
GNW7740;5;50.0;DEPARTMENT OF TRANSPORTATION;2023-06-05;Queens
35575PC;14;115.0;TRAFFIC;2019-07-17;New York City
JBG3643;21;45.0;DEPARTMENT OF SANITATION;2018-08-16;Kings
94024MJ;69;65.0;TRAFFIC;2018-12-14;New York City
CLD9576;7;50.0;DEPARTMENT OF TRANSPORTATION;2017-05-03;Kings
HGM5949;20;60.0;TRAFFIC;2021-10-28;Queens
077S46;40;115.0;TRAFFIC;2023-02-15;Queens
KEP3633;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-01-24;Queens
R77KKY;14;115.0;TRAFFIC;2019-08-20;New York City
JPT9811;21;65.0;DEPARTMENT OF SANITATION;2020-09-23;Kings
CDV7039;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-04-27;Queens
GDV1422;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-10-16;Kings
95241ME;42;65.0;TRAFFIC;2018-11-14;New York City
SFR2629;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-06-12;Bronx
KZL1799;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-08-28;Queens
GBN7211;21;45.0;TRAFFIC;2018-01-26;Kings
FAY8320;14;115.0;TRAFFIC;2023-02-27;Queens
HSE4263;37;35.0;TRAFFIC;2018-01-22;Queens
HRB4886;68;60.0;TRAFFIC;2018-06-03;Kings
HSZ2651;20;60.0;TRAFFIC;2019-02-06;Kings
HSH3060;38;35.0;TRAFFIC;2022-02-24;Kings
KFK7033;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-05-02;Queens
T650425C;17;95.0;DEPARTMENT OF SANITATION;2019-11-01;New York City
HNS9862;20;60.0;TRAFFIC;2021-09-16;Queens
AU313C;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-04-28;Queens
JNV6686;21;65.0;TRAFFIC;2021-01-21;Kings
9BC764;36;50.0;DEPARTMENT OF TRANSPORTATION;2018-10-01;Kings
24810MG;20;60.0;TRAFFIC;2018-04-10;New York City
JDE6737;21;45.0;TRAFFIC;2019-01-17;Kings
JEM5274;40;115.0;TRAFFIC;2023-01-19;Queens
KJW9004;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-08-16;Queens
GSA3707;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-03-23;Queens
AT493N;79;115.0;POLICE DEPARTMENT;2017-11-27;New York City
Y200953C;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-06-26;Richmond
JJL4274;38;35.0;TRAFFIC;2023-09-14;Queens
CPW6263;70;65.0;TRAFFIC;2023-11-13;Queens
AF92156;21;45.0;DEPARTMENT OF SANITATION;2016-08-29;Bronx
49AWDU;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-05-14;Kings
81689JN;69;65.0;TRAFFIC;2018-08-02;New York City
04DAXG;21;65.0;TRAFFIC;2022-08-30;Bronx
A44JUT;38;35.0;TRAFFIC;2018-10-03;Kings
GUM3834;21;45.0;TRAFFIC;2016-12-10;Bronx
JAW2095;38;35.0;TRAFFIC;2022-04-11;Kings
KRC4983;38;35.0;TRAFFIC;2021-08-03;Queens
94741MC;20;60.0;TRAFFIC;2017-08-03;Kings
42002MK;14;115.0;TRAFFIC;2021-01-25;New York City
HLE5766;14;115.0;TRAFFIC;2020-08-18;New York City
AU160R;14;115.0;TRAFFIC;2023-09-07;New York City
KKN1520;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-01-12;Kings
YEMEN2;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-07-22;Bronx
J83SBU;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-09-19;Richmond
KJH2169;37;35.0;TRAFFIC;2022-10-25;Kings
HHW565;38;35.0;TRAFFIC;2019-03-02;Bronx
KGA8197;21;45.0;TRAFFIC;2020-01-17;Kings
HYR3988;50;115.0;TRAFFIC;2019-01-13;Queens
79522MJ;46;115.0;TRAFFIC;2021-12-21;Bronx
T663562C;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-02-15;Kings
K24LXJ;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-09-10;Kings
8099QU;40;115.0;TRAFFIC;2019-02-09;Kings
BMTZ22;21;45.0;TRAFFIC;2019-09-26;New York City
GLA7398;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-09-28;Kings
HKL5571;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-05-24;Kings
JMM7205;74;65.0;TRAFFIC;2022-03-07;New York City
BPNQ03;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-06-27;Kings
JEJ7195;40;115.0;POLICE DEPARTMENT;2023-11-24;Bronx
EYF5311;7;50.0;DEPARTMENT OF TRANSPORTATION;2017-07-29;Kings
6UUP511;38;35.0;TRAFFIC;2017-06-02;Richmond
GUD9466;21;45.0;TRAFFIC;2016-04-21;Kings
EKW5556;17;95.0;OTHER/UNKNOWN AGENCIES;2017-06-21;Bronx
HCN4452;38;35.0;TRAFFIC;2017-08-05;Queens
FXN6624;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-07-17;Kings
KLL1314;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-02-23;Kings
JNA7607;21;65.0;TRAFFIC;2019-12-10;New York City
KHA5019;14;115.0;TRAFFIC;2023-05-11;Kings
255209T;19;115.0;TRAFFIC;2021-12-11;Kings
KFM4686;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-07-08;Queens
LAS2994;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-04-08;Queens
AF06359;40;115.0;TRAFFIC;2018-11-09;Queens
JMF9461;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-06-16;Kings
FDV9977;36;50.0;DEPARTMENT OF TRANSPORTATION;2016-11-30;Bronx
HCV3684;36;50.0;DEPARTMENT OF TRANSPORTATION;2016-09-20;Bronx
KSB6478;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-09-16;Kings
JGS8618;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-01-21;Bronx
DAK9824;36;50.0;DEPARTMENT OF TRANSPORTATION;2016-07-20;Kings
JPD6297;7;50.0;DEPARTMENT OF TRANSPORTATION;2020-04-13;Queens
G11FXX;46;115.0;TRAFFIC;2018-01-18;Kings
KKR9738;20;65.0;TRAFFIC;2022-02-14;New York City
A65NSU;16;95.0;TRAFFIC;2022-04-27;New York City
FMH2645;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-07-19;Queens
KDU5471;71;65.0;TRAFFIC;2022-05-15;Bronx
LCN1764;21;65.0;TRAFFIC;2020-11-06;Bronx
HJP7319;40;115.0;TRAFFIC;2017-06-10;Bronx
CSD3959;31;115.0;TRAFFIC;2020-08-04;New York City
KSS8897;70;65.0;TRAFFIC;2022-10-14;Queens
XFDR16;14;115.0;TRAFFIC;2019-04-25;Bronx
BF75678;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-03-25;Kings
GGZ6396;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-03-06;Kings
83458MH;19;115.0;TRAFFIC;2022-01-27;Bronx
HRJ2475;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-08-31;Queens
MSWAY;21;65.0;TRAFFIC;2023-11-21;Kings
KDX9166;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-03-18;Kings
LED1913;21;65.0;TRAFFIC;2023-12-16;Queens
KHA1907;5;50.0;DEPARTMENT OF TRANSPORTATION;2021-04-09;New York City
JED1651;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-04-17;Kings
ZPW42B;21;45.0;TRAFFIC;2017-11-02;Kings
HWW9477;36;50.0;DEPARTMENT OF TRANSPORTATION;2018-06-21;Bronx
XFLJ79;19;115.0;TRAFFIC;2018-06-04;New York City
31409MG;10;115.0;TRAFFIC;2018-05-30;New York City
87363ME;50;115.0;TRAFFIC;2019-04-30;Kings
F94HMV;38;35.0;TRAFFIC;2023-07-15;Kings
KLW7395;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-05;Queens
RIPRTP;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-08-15;Queens
KKG7025;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-24;Queens
JPR7650;20;65.0;TRAFFIC;2020-10-17;New York City
JNZ2599;20;60.0;TRAFFIC;2020-12-16;Kings
31284MA;38;65.0;TRAFFIC;2019-11-19;New York City
ETK8641;14;115.0;TRAFFIC;2016-07-21;New York City
DERSKAYA;46;115.0;TRAFFIC;2023-05-17;Kings
GEF9374;21;45.0;TRAFFIC;2015-02-11;Kings
JDG1990;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-01-08;Kings
KDR6530;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-10-19;Queens
7BLJ936;21;45.0;TRAFFIC;2016-12-15;Kings
83191JW;84;65.0;TRAFFIC;2020-01-27;New York City
AMALY;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-02-19;Queens
HUT7749;40;115.0;TRAFFIC;2021-12-14;Queens
GWB2464;21;65.0;TRAFFIC;2022-07-05;Kings
HSM8578;71;65.0;TRAFFIC;2022-09-08;Queens
KEE8107;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-10-12;Kings
KKA6401;71;65.0;TRAFFIC;2022-05-02;Bronx
625888R;16;95.0;TRAFFIC;2020-08-18;New York City
KSD7225;21;65.0;TRAFFIC;2021-12-30;New York City
50426MM;38;65.0;TRAFFIC;2022-07-13;New York City
47385MG;38;65.0;TRAFFIC;2019-05-08;New York City
HAN3027;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-11-12;Queens
4174HD;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-03-31;Kings
KJH2334;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-12-08;Kings
789;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-06-23;New York City
30662MA;14;115.0;TRAFFIC;2023-05-17;New York City
GAR5742;21;45.0;TRAFFIC;2019-06-18;Kings
13246MN;20;65.0;TRAFFIC;2022-02-16;New York City
GHF2185;7;50.0;DEPARTMENT OF TRANSPORTATION;2020-10-08;Bronx
72261JU;20;65.0;TRAFFIC;2020-07-21;New York City
HPE2948;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-01-26;Bronx
79628NA;72;65.0;TRAFFIC;2021-12-15;Queens
JCM5338;70;65.0;TRAFFIC;2021-05-11;Richmond
CMV3573;37;65.0;TRAFFIC;2016-10-19;New York City
GUK5607;37;65.0;TRAFFIC;2019-02-16;New York City
93268;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-05-11;Queens
JMZ5203;38;35.0;TRAFFIC;2020-02-06;Queens
67969PC;47;115.0;TRAFFIC;2020-08-27;New York City
HCR7711;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-02-06;Kings
JBB2462;70;65.0;TRAFFIC;2022-08-27;Kings
HZZ3504;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-09-17;Queens
LFA5613;20;60.0;TRAFFIC;2022-12-05;Bronx
KVT1591;21;65.0;TRAFFIC;2023-01-13;Bronx
JDP3388;7;50.0;DEPARTMENT OF TRANSPORTATION;2019-08-21;Kings
JPC1828;46;115.0;TRAFFIC;2020-02-07;Kings
GXM9826;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-03-13;Queens
2XT280;84;45.0;TRAFFIC;2018-06-12;Bronx
GTN8063;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-02-21;Bronx
KML7382;70;65.0;TRAFFIC;2023-05-01;Kings
HMF2934;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-05-03;Kings
KKA7005;40;115.0;TRAFFIC;2023-11-08;New York City
OT142G;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-06-30;Kings
KFL6264;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-10-22;Bronx
FWY3082;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-07-24;Queens
FML2797;5;115.0;DEPARTMENT OF TRANSPORTATION;2017-08-15;New York City
KXB5415;46;115.0;TRAFFIC;2023-05-23;New York City
HDT2105;38;35.0;TRAFFIC;2022-04-13;Queens
XN837H;20;65.0;TRAFFIC;2018-02-15;New York City
KAS3534;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-07-05;Kings
KSY1923;7;50.0;DEPARTMENT OF TRANSPORTATION;2021-10-31;Kings
KFG8427;19;115.0;TRAFFIC;2021-03-27;New York City
20830NB;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-16;Richmond
KRA5157;38;35.0;TRAFFIC;2023-05-16;Queens
8EK355;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-06-10;Kings
KJC3004;71;65.0;TRAFFIC;2021-02-23;Kings
FCX2225;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-03-17;Queens
W51PKL;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-12-10;Bronx
87186MH;21;65.0;TRAFFIC;2020-10-08;Queens
EMP6964;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-11-30;Queens
SEYER6;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-09-21;Queens
JWD1762;36;50.0;DEPARTMENT OF TRANSPORTATION;2018-09-13;Kings
HCR7488;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-07-01;Queens
76136JY;48;115.0;TRAFFIC;2017-11-16;New York City
9U02G2;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-05-06;Queens
JPW8639;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-11-19;Queens
HTA2363;21;45.0;TRAFFIC;2018-10-09;Queens
T686898C;20;60.0;TRAFFIC;2023-06-01;Bronx
11432MK;46;115.0;TRAFFIC;2017-10-28;New York City
KRK4136;5;50.0;DEPARTMENT OF TRANSPORTATION;2022-11-19;Bronx
JEJ4083;46;115.0;TRAFFIC;2019-09-25;Bronx
EJK4320;20;60.0;TRAFFIC;2017-07-28;New York City
KPK5382;70;65.0;TRAFFIC;2023-06-23;Queens
FMJ1721;7;50.0;DEPARTMENT OF TRANSPORTATION;2019-07-28;Kings
JCJ5297;21;45.0;TRAFFIC;2019-09-07;Kings
NFTA80;48;115.0;TRAFFIC;2021-06-21;Queens
HDV5878;16;95.0;TRAFFIC;2019-01-21;Kings
53920MC;71;65.0;TRAFFIC;2022-07-25;New York City
LDR5882;40;115.0;TRAFFIC;2022-02-13;Bronx
JGK1137;71;65.0;TRAFFIC;2020-01-11;Bronx
GYD6116;36;50.0;DEPARTMENT OF TRANSPORTATION;2016-11-28;Kings
57300MC;69;65.0;TRAFFIC;2016-05-27;New York City
HUT8973;7;50.0;DEPARTMENT OF TRANSPORTATION;2017-10-31;Queens
HLG4537;37;35.0;TRAFFIC;2018-09-17;Queens
0L00G7;21;65.0;TRAFFIC;2020-12-11;Kings
HAA4223;31;115.0;TRAFFIC;2018-02-05;New York City
P75LMX;38;65.0;TRAFFIC;2019-09-06;New York City
51989MH;69;65.0;TRAFFIC;2017-02-10;New York City
GEX3761;20;60.0;TRAFFIC;2017-04-10;Bronx
HMU3084;21;45.0;TRAFFIC;2019-10-31;Kings
FPG7447;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-02-26;Richmond
HPW1781;71;65.0;TRAFFIC;2017-05-15;Kings
T759393C;38;35.0;TRAFFIC;2019-05-20;Kings
T645111C;36;50.0;DEPARTMENT OF TRANSPORTATION;2018-10-19;Richmond
JRU4882;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-11-29;Queens
JKN2607;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-12-04;Richmond
HEB2311;37;35.0;TRAFFIC;2017-08-14;Queens
HMK2965;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-01-21;Queens
KSE4732;21;65.0;TRAFFIC;2023-10-19;Queens
HGF7948;21;45.0;TRAFFIC;2016-11-25;Queens
51741MG;13;115.0;TRAFFIC;2023-05-10;New York City
HCW2764;31;115.0;TRAFFIC;2019-06-06;New York City
GUX6214;36;50.0;DEPARTMENT OF TRANSPORTATION;2019-07-24;New York City
HGK3680;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-10-08;Queens
HCS2280;16;95.0;TRAFFIC;2016-09-09;New York City
XDLM95;14;115.0;POLICE DEPARTMENT;2018-08-08;New York City
XL777777;7;50.0;DEPARTMENT OF TRANSPORTATION;2021-06-14;Queens
10370MC;69;65.0;TRAFFIC;2017-06-14;New York City
F40JLA;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-04-20;Kings
83115ML;38;35.0;TRAFFIC;2019-06-11;Queens
T49PDR;40;115.0;TRAFFIC;2022-10-21;Kings
EVM3769;70;65.0;TRAFFIC;2020-02-26;Queens
CUJ3455;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-03-13;Bronx
JJG9943;21;65.0;TRAFFIC;2023-05-23;New York City
KUY8114;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-10;Bronx
FHB2260;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-04-13;Queens
HEH9081;7;50.0;DEPARTMENT OF TRANSPORTATION;2017-09-27;Queens
2987258;84;65.0;TRAFFIC;2023-05-17;New York City
KTH9449;38;35.0;TRAFFIC;2022-03-30;Queens
GVV4303;40;115.0;TRAFFIC;2021-10-26;Queens
KED5252;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-07-22;Queens
KKS1026;31;115.0;TRAFFIC;2021-04-21;New York City
KRC1849;40;115.0;TRAFFIC;2019-10-22;Kings
GVU7588;14;115.0;TRAFFIC;2017-08-22;Bronx
LEC1379;7;50.0;DEPARTMENT OF TRANSPORTATION;2023-08-20;Kings
X78RHC;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-11-11;Kings
12550MM;46;115.0;TRAFFIC;2019-07-08;New York City
T86PJR;40;115.0;TRAFFIC;2022-04-29;New York City
EWV3866;21;45.0;TRAFFIC;2017-01-31;Kings
GED1007;31;115.0;TRAFFIC;2019-01-09;New York City
HTP5153;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-11-06;Queens
LCV9769;37;35.0;TRAFFIC;2023-08-22;Queens
GFE5955;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-12-06;Bronx
46584MK;14;115.0;TRAFFIC;2019-08-07;New York City
GLC3266;40;115.0;TRAFFIC;2017-06-19;Bronx
FHL2838;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-04-27;Bronx
HTJ2467;7;50.0;DEPARTMENT OF TRANSPORTATION;2018-09-10;Richmond
JMJ4079;74;65.0;TRAFFIC;2023-04-05;Kings
CHB6962;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-12-19;Kings
EFC7644;36;50.0;DEPARTMENT OF TRANSPORTATION;2018-11-14;Queens
JLK5850;21;45.0;TRAFFIC;2020-02-07;Bronx
AY87887;5;100.0;DEPARTMENT OF TRANSPORTATION;2022-01-04;New York City
JCF8546;37;35.0;TRAFFIC;2019-04-16;Queens
JJT2208;21;45.0;TRAFFIC;2019-12-09;Kings
HUD2250;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-10-23;Queens
KVC6728;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-07-15;Queens
DUZ8178;36;50.0;DEPARTMENT OF TRANSPORTATION;2016-09-08;Richmond
2835259;47;115.0;TRAFFIC;2022-06-24;New York City
JBP2882;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-07-29;Bronx
VJW9354;7;50.0;DEPARTMENT OF TRANSPORTATION;2016-08-07;Kings
JRC4143;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-09-24;Kings
GWM2324;21;65.0;TRAFFIC;2021-06-28;Kings
GZJ7251;46;115.0;TRAFFIC;2022-01-06;Bronx
LPZG27;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-05-27;Queens
MDK0616;40;115.0;TRAFFIC;2023-09-13;Queens
92757JU;46;115.0;TRAFFIC;2019-09-04;New York City
HHC3074;50;115.0;TRAFFIC;2016-08-29;Queens
62632JM;51;115.0;TRAFFIC;2017-03-01;New York City
91658MC;14;115.0;TRAFFIC;2021-07-06;New York City
Z16MZM;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-10-14;Queens
2028686;84;65.0;TRAFFIC;2021-03-05;New York City
HVJ9495;14;115.0;TRAFFIC;2018-03-03;Queens
DMX4787;21;45.0;TRAFFIC;2018-08-24;Queens
JHM4496;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-05-28;Queens
Z1357J;7;50.0;DEPARTMENT OF TRANSPORTATION;2017-08-19;Queens
29058MH;20;65.0;TRAFFIC;2019-04-26;New York City
XKLD38;84;65.0;TRAFFIC;2022-03-24;New York City
RMP6927;50;115.0;TRAFFIC;2019-02-13;Kings
JFW4248;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-05-07;Kings
KLK6914;31;115.0;TRAFFIC;2023-08-11;New York City
HKZ5444;20;60.0;DEPARTMENT OF SANITATION;2018-01-09;Bronx
XGHZ56;21;45.0;TRAFFIC;2019-10-25;Kings
AL48563;78;65.0;TRAFFIC;2023-08-30;Kings
KKB6359;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-08-16;Queens
HTD1438;21;65.0;TRAFFIC;2021-12-02;Queens
GTB3784;38;35.0;TRAFFIC;2017-11-20;Queens
T784103C;40;115.0;POLICE DEPARTMENT;2019-09-22;Kings
KJB2936;5;50.0;DEPARTMENT OF TRANSPORTATION;2023-07-17;Kings
KDV8113;40;115.0;POLICE DEPARTMENT;2017-05-16;Kings
HCP3105;7;50.0;DEPARTMENT OF TRANSPORTATION;2016-07-16;Queens
28663MH;20;65.0;TRAFFIC;2020-01-23;New York City
LJV0438;21;65.0;TRAFFIC;2023-10-02;Kings
HSM4216;36;50.0;DEPARTMENT OF TRANSPORTATION;2022-11-24;Kings
KVH9129;14;115.0;TRAFFIC;2023-01-05;Kings
T36KJT;46;115.0;TRAFFIC;2019-03-09;New York City
HGR3913;36;50.0;DEPARTMENT OF TRANSPORTATION;2023-01-09;Bronx
CD17775;10;115.0;TRAFFIC;2020-09-21;Kings
JGE8067;21;65.0;DEPARTMENT OF SANITATION;2021-04-09;Bronx
KLL3874;40;115.0;TRAFFIC;2021-07-29;Kings
GWG5952;71;65.0;TRAFFIC;2017-04-04;New York City
GLJ4731;7;50.0;DEPARTMENT OF TRANSPORTATION;2021-07-02;Kings
KUX5071;38;35.0;TRAFFIC;2023-01-28;Queens
HTY6352;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-07-14;New York City
HBU1556;74;65.0;TRAFFIC;2016-05-18;Bronx
HUD5989;40;115.0;TRAFFIC;2021-06-03;Queens
JAGMAN;37;35.0;TRAFFIC;2020-12-15;Kings
59941MJ;14;115.0;TRAFFIC;2023-03-07;New York City
HEDOW;38;65.0;POLICE DEPARTMENT;2016-11-25;New York City
T509870C;36;50.0;DEPARTMENT OF TRANSPORTATION;2021-04-16;Bronx
90066MG;74;65.0;TRAFFIC;2017-10-11;Kings
49008MN;5;50.0;DEPARTMENT OF TRANSPORTATION;2021-02-26;New York City
JLL2553;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-05-15;New York City
JMR4681;38;35.0;TRAFFIC;2022-12-30;New York City
HVY5760;36;50.0;DEPARTMENT OF TRANSPORTATION;2020-02-12;Queens
KSR5268;38;35.0;TRAFFIC;2022-03-15;Bronx
T696469C;7;50.0;DEPARTMENT OF TRANSPORTATION;2022-06-02;Bronx
68613PC;48;115.0;TRAFFIC;2018-08-29;New York City
CXBP12;36;50.0;DEPARTMENT OF TRANSPORTATION;2017-07-31;Bronx
HSP1525;21;65.0;TRAFFIC;2017-09-25;New York City
KTV3676;21;65.0;TRAFFIC;2023-10-27;Queens
